臺北市中正區,25.03240487,121.5198839,1
臺北市大同區,25.06342433,121.5130417,2
臺北市中山區,25.06969917,121.5381597,3
臺北市松山區,25.05999101,121.5575876,4
臺北市大安區,25.02677012,121.5434446,5
臺北市萬華區,25.0285899,121.4979858,6
臺北市信義區,25.03062083,121.5716697,7
臺北市士林區,25.12546704,121.5508473,8
臺北市北投區,25.1480682,121.5177992,9
臺北市內湖區,25.08370623,121.5923828,10
臺北市南港區,25.03600934,121.6097573,11
臺北市文山區,24.98857934,121.5736082,12
基隆市仁愛區,25.11945421,121.7434205,13
基隆市信義區,25.12576579,121.772646,14
基隆市中正區,25.14365754,121.7783549,15
基隆市中山區,25.14986365,121.7308913,16
基隆市安樂區,25.14139521,121.7078325,17
基隆市暖暖區,25.08097003,121.7447344,18
基隆市七堵區,25.10962028,121.683628,19
新北市萬里區,25.17572457,121.6439307,20
新北市金山區,25.21714594,121.6052639,21
新北市板橋區,25.01186453,121.4579675,22
新北市汐止區,25.07331322,121.6546992,23
新北市深坑區,24.99767506,121.6200624,24
新北市石碇區,24.94714107,121.6472277,25
新北市瑞芳區,25.0981293,121.8232018,26
新北市平溪區,25.02607068,121.7578817,27
新北市雙溪區,24.99698394,121.8329822,28
新北市貢寮區,25.02485641,121.9182466,29
新北市新店區,24.93039008,121.5316565,30
新北市坪林區,24.91097073,121.724223,31
新北市烏來區,24.78824295,121.5414806,32
新北市永和區,25.00810199,121.516745,33
新北市中和區,24.99088039,121.4936744,34
新北市土城區,24.96425102,121.445737,35
新北市三峽區,24.88209766,121.4163094,36
新北市樹林區,24.97970609,121.401034,37
新北市鶯歌區,24.9566258,121.3466269,38
新北市三重區,25.06281651,121.4870977,39
新北市新莊區,25.0358303,121.4367535,40
新北市泰山區,25.05549774,121.4162785,41
新北市林口區,25.1000868,121.3527235,42
新北市蘆洲區,25.08927173,121.4712461,43
新北市五股區,25.09614746,121.4332139,44
新北市八里區,25.13812763,121.4138359,45
新北市淡水區,25.18907636,121.463904,46
新北市三芝區,25.23159891,121.515558,47
新北市石門區,25.26518079,121.5692761,48
宜蘭縣宜蘭市,24.75021184,121.7569358,49
宜蘭縣頭城鎮,24.90075882,121.845797,50
宜蘭縣礁溪鄉,24.81144192,121.7346606,51
宜蘭縣壯圍鄉,24.75183042,121.8017622,52
宜蘭縣員山鄉,24.74199237,121.6612282,53
宜蘭縣羅東鎮,24.67884824,121.7701782,54
宜蘭縣三星鄉,24.66771972,121.6642714,55
宜蘭縣大同鄉,24.55152082,121.5040369,56
宜蘭縣五結鄉,24.68887343,121.8058342,57
宜蘭縣冬山鄉,24.64214986,121.760255,58
宜蘭縣蘇澳鎮,24.55467058,121.8346892,59
宜蘭縣南澳鄉,24.44864058,121.6560593,60